
@relation classify-sentiment

@attribute text string
@attribute class {negativo,positivo,neutro}

@data
'limite de conta sai do sistema e mostra mensagem "não foi possível, tente mais tarde"',negativo
'lixo de aplicativo não consigo mais abrir minha conta, parabéns ao sistema',negativo
'lixo não consigo mais abrir minha conta',negativo
'lixo só travamento atrás do outro, explode isso e faz um que preste do zero',negativo
'lixo só travamento atrás do outro',negativo
'lixo',negativo
'lixo',negativo
'lixo',negativo
'lixoooo sicredi nunca funciona',negativo
'mais de uma hora',negativo
'mais não me ajudou em nada',negativo
'mais um que não funciona',negativo
'mal desenvolvido',negativo
'mas de uns dias pra cá estou com problemas em relação a senha',negativo
'mas está apresentando erro somente neste app',negativo
'mas eu não consigo ter acesso às faturas de crédito',negativo
'mas nao consigo liberar para uso mais, pois diz que nao tenho nenhum dispositivo vinculado agor…',negativo
'mas nunca funciona',negativo
'mas tirando este problema q não consigo acessar é maravilhoso o app',negativo
'massa',negativo
'me ajuda',negativo
'me ajuuuudeeemm',negativo
'me deram o número da conta com 7 dígitos, não consegui fazer o depósito de 20$ para ativação da conta ou seja tempo perdido',negativo
'me falam tão bem , mas não minha região não tem 😕',negativo
'me mudei recentemente para esse app, mais não me ajudou em nada',negativo
'melhor da uma melhorada',negativo
'melhora ai esse lance do cartão',negativo
'melhorem esse quesito e ira valer a pena ter o app instalado',negativo
'melhorou mas ainda tem alguns bugs',negativo
'melhorou pouco',negativo
'merda fecha na hora de colocar a senha, pior que o atendimento',negativo
'merda lixo',negativo
'mesmo assim não funciona',negativo
'mesmo com os dados todos certos só fica na parte do login e não abre',negativo
'mesmo com todos os dados corretos não consigo acessar minha conta',negativo
'mesmo o gerente da conta desbloqueando o aplicativo, acontece sempre a mesma coisa',negativo
'mesmo utilizando internet em wi-fi com uma boa navegação o app não responde, fica processando apenas',negativo
'meu aplicativo não aparece o campo da senha',negativo
'meu aplicativo vive dando problema no token',negativo
'meu app trava já desinstalei e instalei 3 vezes e nada por favor utilizo muito',negativo
'meu marido tem conta ai e não consigo me cadastrar no app pra acompanhar meu saldo',negativo
'meu nome tudo ok então estou sem entender',negativo
'meu problema não foi resolvido',negativo
'meu saldo do cartão de credito só atualiza 3 dias após a compra',negativo
'meu tempo é curto, arruma isso aí',negativo
'meu token foi cancelado',negativo
'meus dados sumiram',negativo
'mexeram no sistema de acesso e simplesmente não abre mais',negativo
'minha conta foi aprovada porém não consigo acessar o app pra ter acesso as funções',negativo
'minha conta não abre',negativo
'minha conta não abrisse',negativo
'minha conta não abriu',negativo
'minha internet está funcionando, não consigo identificar o problema',negativo
'morro em salvador e não consigo criar conta sendo que tem agência sicredi aqui',negativo
'mostra a mensagem de erro',negativo
'muita urgência',negativo
'muitas atualizações',negativo
'muito bom mais ainda falta ter um aplicativo para controlar os cartões',negativo
'muito bom, bem pratico',negativo
'muito bug',negativo
'muito erro na execução do app',negativo
'muito erro',negativo
'muito lento',negativo
'muito lento',negativo
'muito limitado em questão de informação e cheio de coisas desnecessárias sempre atrapalhando',negativo
'muito limitado em questão de informação',negativo
'muito lixo',negativo
'muito ruim ter que ficar digitando todo o barramento',negativo
'muito ruim ter que ficar digitando',negativo
'muito ruim, não lê',negativo
'muito ruim',negativo
'muito ruim',negativo
'muito ruim',negativo
'muito ruin a cada pouco tenque estar atualizando',negativo
'muito travado',negativo
'n atualiza e n consigo nem entra no site toda vez q vou no site pede pra mim abaixa o aplicativo',negativo
'n atualiza',negativo
'n consigo entra fica dando erro',negativo
'ñ gostei porque os extratos ñ identificam os depositos',negativo
'ñ gostei',negativo
'ñ mudou nada, continua uma falta de criatividade',negativo
'n tem onde digitar a senha',negativo
'na agência fui e não foi resolvido o problema',negativo
'na agência não sabiam ao certo o problema até que descobri que se você tenta acessar pela impressão digital a conta não entra, favor arrumar isso',negativo
'na agência não sabiam ao certo o problema até que descobri que se você tenta acessar pela impressão digital a conta não entra',negativo
'na agência não souberam me ajudar quanto a isso',negativo
'na hora de tirar selfie fica dando erro, é constrangedor',negativo
'na maioria das vezes em que preciso usar o app, sempre vem a nensagem, não foi possível, por favor tente mais tarde',negativo
'na primeira semana funcionou perfeitamente, mas agora não está mais',negativo
'na próxima atualização poderia mostrar o limite do cartão para pessoa jurídica',negativo
'na quarta liguei no banco e não conseguiram me ajudar, na quinta fui ao banco e foi gerado uma chamada',negativo
'na versão anterior tudo ok, mas atualizou e agora só está dando erro',negativo
'não abre a conta poupança',negativo
'não abre e da erro quando está para entrar',negativo
'nao abre e nao funciona',negativo
'nao abre mais ja faz quatro dias estou bem chateada com essa situação',negativo
'nao abre mais ja faz quatro dias',negativo
'nao abre mais',negativo
'nao abre não serve pra nada',negativo
'não abre no wifi, apenas com os dados móveis',negativo
'não abre o extrato',negativo
'não abre pra fazer o login',negativo
'não abre, fica só na tela de login',negativo
'não abre',negativo
'não abre',negativo
'não abre',negativo
'não abre',negativo
'não abre',negativo
'não abri',negativo
'nao aceita digitar a senha rapidamente',negativo
'não acessa a fatura, limites, saldos dos cartões tem revisar esse app falta muita coisa é incompleto',negativo
'não acessava mais',negativo
'não achei outro canal pra entrar em contato',negativo
'não achei outro canal',negativo
'não acho como fazer no site',negativo
'não acho documentação',negativo
'não acho informação',negativo
'não acho passo a passo',negativo
'não acontece nada quando eu tento',negativo
'não aparece a opção pra mim',negativo
'não aparece informações',negativo
'nao aparece na hora',negativo
'não aparece o campo da senha',negativo
'não aparece todas as informações que estão no informativo do app',negativo
'não atende os requisitos mínimos',negativo
'não atualiza em meu tablet, o que acontece',negativo
'nao atualiza',negativo
'não carrega',negativo
'não chega a ser da mesma qualidade de outros bancos devido a erros na navegação',negativo
'não chega a ser da mesma qualidade de outros',negativo
'não compativel não homologado para tablet dell venue',negativo
'nao concigo atualizar o meu app',negativo
'não consegue abrir para após a senha',negativo
'não consegue abrir',negativo
'nao consegui fazer tranferencia nem pagar boleto e agora nem acessar a conta consigo mais, aparece um aviso senha bloqueada',negativo
'nao consegui fazer tranferencia',negativo
'não consegui me cadastrar',negativo
'não consigo abrir minha conta pois sou informado que não podem atender no meu cep como assim gente',negativo
'não consigo acessar a conta diz servidor não encontrado',negativo
'não consigo acessar a conta já tem 3 dias',negativo
'não consigo acessar a conta não pede senha e da senha incorreta',negativo
'não consigo acessar a conta, fala que esta dando erro de servidor e não sai disso',negativo
'não consigo acessar a conta',negativo
'não consigo acessar a conta',negativo
'não consigo acessar a conta',negativo
'não consigo acessar diz que minha conta não está liberada',negativo
'não consigo acessar meus dados',negativo
'nao consigo acessar minha conta depois da ultima atualizacao',negativo
'nao consigo acessar minha conta o que devo fazer ja desinstalei e intalei de novo mais não entra na minha conta',negativo
'nao consigo acessar minha conta',negativo
'não consigo acessar minha conta',negativo
'nao consigo acessar nada, pois simplesmente o app nao funciona',negativo
'não consigo acessar o aplicativo devido a isso',negativo
'não consigo acessar via app, pois desapareceu o campo de entrada da senha de acesso',negativo
'não consigo acessar',negativo
'não consigo acessar',negativo
'não consigo acessar',negativo
'não consigo acompanhar os gastos do cartão de crédito',negativo
'não consigo atualizar',negativo
'não consigo baixar minha fatura, as operações são absolutamente limitadas',negativo
'não consigo baixar minha fatura',negativo
'não consigo baixar',negativo
'não consigo cadastrar uma conta no aplicativo',negativo
'não consigo colocar minha renda no cadastro,e quero saber se terei cartão de crédito na conta',negativo
'não consigo conectar a minha conta',negativo
'nao consigo contato com a cooperativa',negativo
'não consigo contratar um financiamento',negativo
'não consigo controlar os boletos',negativo
'não consigo entrar , o que coloco em senha',negativo
'não consigo entrar fica dando erro no sistema é nada ja fui no banco tá tudo certo e não consigo entrar',negativo
'não consigo entrar na conta pelo app na data de hoje',negativo
'não consigo entrar na minha conta',negativo
'não consigo entrar na minha conta',negativo
'não consigo entrar no app até desinstalei e instalei novamente, mas continua o aviso de falha na conectividade',negativo
'não consigo entrar no app, até desinstalei e instalei novamente',negativo
'nao consigo entrar',negativo
'nao consigo fazer login',negativo
'não consigo fazer pagamento',negativo
'não consigo fazer transferência e nem pagamento',negativo
'não consigo fazer transferências',negativo
'não consigo identificar o problema',negativo
'não consigo identificar o problema',negativo
'não consigo inserir os números da conta',negativo
'não consigo instalar',negativo
'nao consigo logar',negativo
'não consigo logar',negativo
'não consigo mais acessar minha conta',negativo
'não consigo mais pagar meus boletos',negativo
'não consigo me cadastrar no app pra acompanhar meu saldo',negativo
'não consigo me cadastrar',negativo
'não consigo movimentar minha conta',negativo
'não consigo nada',negativo
'não consigo nem abrir',negativo
'nao consigo nem entra no site toda vez q vou no site pede pra mim abaixa o aplicativo',negativo
'nao consigo nem entra no site',negativo
'não consigo nem entrar mais no app',negativo
'não consigo nem fazer',negativo
'não consigo nem pagar mais',negativo
'não consigo nem ver o saldo',negativo
'não consigo nem ver quem fez os depósitos',negativo
'não consigo pagar boletos com o leitor de código de barras e nem quando informo o número do boleto',negativo
'não consigo pagar boletos pelo app nem pelo scanner nem digitando o código de barras',negativo
'não consigo pagar contas através aplicativo',negativo
'não consigo pagar',negativo
'não consigo passar do login, uma mensagem aparece dizendo que estão atualizando o sistema',negativo
'não consigo realizar o cadastro de conta poupança',negativo
'não consigo resolver',negativo
'não consigo saber quanto de limite que ainda me resta, porque não mostra nada',negativo
'não consigo ter acesso pois sempre aparece erro',negativo
'não consigo ter acesso',negativo
'não consigo transferir dinheiro',negativo
'não consigo usar o app pois esta dizendo q meu celular tem root sendo q nunca fiz root nele:( ##chateda',negativo
'não consigo usar',negativo
'nao consigo utilizar o app diz que meu celular tem root mas nao tenho',negativo
'não consigo ver meus limites de cartão de crédito, e se preciso fazer uma recarga de celular também não consigo',negativo
'nao consigo ver nome das lojas que foram passadas o cartao',negativo
'não consigo visualizar nada',negativo
'nao consigo',negativo
'não é auto explicativo',negativo
'nao é bom',negativo
'não é claro',negativo
'não é da mesma qualidade dos concorrentes',negativo
'não é de qualidade',negativo
'nao é legal',negativo
'não é possível visualizar lançamentos do cartão de crédito',negativo
'não encontro ajuda',negativo
'não entendi nada',negativo
'nao entendi o motivo de nem a conta me aprovar',negativo
'não entendi por que',negativo
'não entendi porque em poucos dias foram descontados sendo que nem tem tanta dívida assim',negativo
'nao entra fica so dando erro',negativo
'não entra nem na conta',negativo
'não entra no app',negativo
'não está abrindo o aplicativo',negativo
'não está abrindo',negativo
'não está acessando aparece falha de comunicação com o servidor, já faz uns 2 dias',negativo
'não está disponível pra são luís - ma, o que eu acho que não faz sentido, já que é uma conta digital',negativo
'não está fluindo bem, demora pra carregar e atualizar as informações de saldo',negativo
'não está fluindo bem',negativo
'não está funcionando o token',negativo
'não está funcionando',negativo
'não estamos conseguindo digitar',negativo
'não estamos conseguindo transacionar',negativo
'não estamos podendo fazer transaferencia',negativo
'não estamos podendo ver cartoes',negativo
'não estamos podendo ver credito',negativo
'não estamos podendo ver extrato',negativo
'não estamos podendo ver investimento',negativo
'não estamos podendo ver saldo',negativo
'não estamos podendo',negativo
'não estou conseguindo acessar a minha conta..coloco a minha senha e mesmo assim não entra',negativo
'não estou conseguindo acessar a minha conta',negativo
'não estou conseguindo acessar minha conta o aplicativo não está abrindo mais já fiz de tudo e não abre',negativo
'não estou conseguindo acessar minha conta pelo app desde a última atualização',negativo
'não estou conseguindo acessar minha conta salário',negativo
'não estou conseguindo acessar não está abrindo o aplicativo',negativo
'não estou conseguindo acessar nos últimos dias',negativo
'não estou conseguindo acessar o aplicativo,desde desta última atualização',negativo
'não estou conseguindo acessar para ver o saldo da minha conta fica falando usuário não cadastrado sendo que eu já sou cadastrado',negativo
'não estou conseguindo acessar pelo app e nem pelo navegador da internet',negativo
'não estou conseguindo acessar',negativo
'não estou conseguindo acessar',negativo
'não estou conseguindo acessar',negativo
'não estou conseguindo acessar',negativo
'não estou conseguindo acessar',negativo
'não estou conseguindo conectar',negativo
'não estou conseguindo efetuar pagamento faz alguns dias e isso vem ocorrendo com frequência',negativo
'não estou conseguindo entrar, somente pelo computador',negativo
'não estou conseguindo entrar',negativo
'não estou conseguindo fazer o pagamento da fatura do cartão de crédito pelo app',negativo
'não estou conseguindo fazer o pagamento',negativo
'não estou conseguindo gerenciar as outras contas, apenas uma',negativo
'não estou conseguindo pagar contas pelo aplicativo não lê o código de barras me ajuda',negativo
'não estou conseguindo pagar contas pelo aplicativo',negativo
'não estou conseguindo pagar',negativo
'não estou conseguindo usar',negativo
'não estou conseguindo visualizar o meu saldo',negativo
'não estou conseguindo',negativo
'não estou gostando nos últimos dias',negativo
'nao estou satisfeito',negativo
'nao faz seu papel',negativo
'nao fico satisfeito',negativo
'não foi divulgada nova versão',negativo
'não foi possível concluir seu pagamento da que meu token foi cancelado',negativo
'não foi possível concluir',negativo
'não foi possível, por favor tente mais tarde',negativo
'não foi possível, tente mais tarde',negativo
'não foi resolvido o problema',negativo
'não funciona após a atualização',negativo
'nao funciona mais',negativo
'nao funciona muito bem',negativo
'não funciona não atende a comandos e se encerra inesperadamente',negativo
'não funciona no tablet',negativo
'não funciona para clientes sicredi pernambucred',negativo
'não funciona quase nada no aplicativo',negativo
'nao funciona',negativo
'não funciona',negativo
'não funciona',negativo
'não funciona',negativo
'não funciona',negativo
'não funciona',negativo
'não funciona',negativo
'não funcionando',negativo
'não gostei de cara já foi negado o cartão de crédito mesmo pagando os 9,90 e ainda consulta spc não tenho nome sujo não',negativo
'nao gostei',negativo
'nao gosto do app',negativo
'não gosto do app',negativo
'não lê mais os boletos',negativo
'não lê o código de barras',negativo
'não lê os códigos de barras, de nenhuma maneira depois das últimas duas avaliações',negativo
'não lê os códigos de barras',negativo
'não me ajuda',negativo
'não me ajudou em nada',negativo
'não me liberam credito',negativo
'não melhorou',negativo
'não merece nem uma estrela putz griliz não funciona',negativo
'não mostra claramente',negativo
'não mostra de forma clara',negativo
'não mostra meu saldo, e não consigo entrar usando biometria',negativo
'nao mudou nada',negativo
'não pediu nem a senha',negativo
'não posso ir a um banco para pagar uma conta, dependia do app',negativo
'não possuo conta, apenas pago um acordo mensal e resolveram cobrar taxas de relacionamento',negativo
'não recomendo, já começou ruim sem aprovação , no brasil o melhor banco e o inter o resto e ladata',negativo
'não resolveram o problema',negativo
'não resolveu reinstalar',negativo
'não resolveu',negativo
'nao roda mais',negativo
'nao sabe o que fazem',negativo
'não sai da tela do logo',negativo
'não sai disso',negativo
'não sai disso',negativo
'não se consegue pagar nada mesmo colocando tudo certo',negativo
'não sei mais o que fazer',negativo
'não sei o que aconteceu com a última atualização, mas não consigo mais usar o app',negativo
'não sei se eu que dou azar ou é ruim',negativo
'não tem a opção de transferir',negativo
'não tem como usar o app depois dessa atualização',negativo
'não tem desenvolvedores competentes para a sicredi contratar',negativo
'não tem essa alternativa',negativo
'não tem essa opção no meu aki',negativo
'não tem opção de entrar com digital',negativo
'não tem qualidade',negativo
'não tenho ajuda',negativo
'não tenho esse opção somente o mês anterior',negativo
'não tô conseguindo abrir ele',negativo
'não to conseguindo atualizar para a nova versão',negativo
'nao',negativo
'negativaram meu nome sem se quer enviar uma cobrança',negativo
'nem abre mais agora',negativo
'nem me encaminha p por os dados da conta',negativo
'nem mesmo abre o leitor',negativo
'nem na agência aqui na cidade eles conseguiram resolver',negativo
'nem o tanto que gastei, so obrigado a ficar fazendo de cabeça',negativo
'nem pagar boleto',negativo
'nem quero usar o app',negativo
'neste caso não resolve',negativo
'ninguém consegue resolver isso',negativo
'no campo descrição não permite terminar a frase',negativo
'no começo era tudo de bom',negativo
'no meu celular começou a dar problema fica saindo toda a hora',negativo
'no meu celular não ta mostrando mais o saldo depois dessa nova atualização',negativo
'no rn não possui o digital',negativo
'nos cliente queremos ter acesso total dos serviços disponibilizados pela cooperativa',negativo
'nota 0',negativo
'nota zero',negativo
'nunca consigui acessar minha conta',negativo
'nunca sei quanto ainda tenho de credito',negativo
'nunca vi isso, logo em minha conta e não aparece nenhuma informação sobre a conta',negativo
'o anterior funcionava mt bem',negativo
'o aplicativo apresenta muitas falhas',negativo
'o aplicativo consta que meu celular tem acesso root, mas não tem',negativo
'o aplicativo diz que sábado ou domingo não é dia útil para transações',negativo
'o aplicativo do banco do brasil é um ótimo exemplo a se seguir',negativo
'o aplicativo e bom so não consigo atualizar',negativo
'o aplicativo é ótimo, porém tem algumas coisas que só faz em dia útil, como transferência, resgate, dentre outros, por ser um aplicativo tinha que ser online e funcionar a qualquer momento',negativo
'o aplicativo é ótimo, só estou com problemas não consigo cadastrar uma conta no aplicativo',negativo
'o aplicativo é ótimo, só estou com problemas',negativo
'o aplicativo esta dando problema tanto no tablet quanto no celular, resolvam isso',negativo
'o aplicativo está travando desde a última atualização',negativo
'o aplicativo fecha quando lê o código de barras',negativo
'o aplicativo ficou muito ruim',negativo
'o aplicativo não abre sem fazer uma atualização',negativo
'o aplicativo não possibilita ted ou doc para outros bancos',negativo
'o aplicativo quando não falha é muito bom',negativo
'o app atualizou, mas nao está funcionando corretamente',negativo
'o app deixa a desejar em alguns aspectos, como não poder verificar o extrato das contas pagas em debito automático',negativo
'o app deixa a desejar em alguns aspectos',negativo
'o app é bom mas de um tempo pra ca nao consigo fazer pagamentos pelo app',negativo
'o app é muito bosta',negativo
'o app é tem uma uma diversidade de de ferramentas, porém senti falta de uma calculadora',negativo
'o app era bom',negativo
'o app está com algum erro',negativo
'o app está com problema, o campo da senha não está aparecendo e quando tento entrar da senha inválida e o app parou de funcionar',negativo
'o app esta travando muito',negativo
'o app está travando na tela inicial, e não abre pra fazer o login',negativo
'o app está travando na tela inicial',negativo
'o app fecha automaticamente',negativo
'o app funciona bem, porém desde semana passada estava tentando acessar e não conseguia',negativo
'o app funciona bem',negativo
'o app melhorou o layout, apenas',negativo
'o app melhorou o leiaute, apenas',negativo
'o app não atualiza o limite do cartão de crédito, nem o saldo, só depois de uma semana',negativo
'o app não atualiza',negativo
'o app não funciona',negativo
'o app não mostra de forma clara onde a compra foi feita',negativo
'o app não responde, fica apenas processando',negativo
'o app nessa última atualizacao n abre mais',negativo
'o app nunca funcionou bem',negativo
'o app sermpre funcionava bem',negativo
'o app tá travando muito, está horrível, não consigo entrar na minha conta',negativo
'o app também não esta atualizando',negativo
'o app tem que melhorar muito para poder competir com outros',negativo
'o banco é bom porém o app precisa melhor bastante',negativo
'o desdém dos funcionários',negativo
'o extrato do cartão de crédito deveria ser atualizado mais rápido',negativo
'o item de cartão não funciona',negativo
'o jeito é confuso',negativo
'o leitor parou de funcionar',negativo
'o meu app não quer mais abrir quando eu uso a biometria do meu celular',negativo
'o next do bradesco é ótimo',negativo
'o pior de tudo é quando você usa o cartão em um estabelecimento e vai olhar a fatura e só esta marcado compras nacionais',negativo
'o problema continua e pelos relatos abaixo, não é só comigo',negativo
'o problema de falha de conexão foi resolvido, porém o app ainda continua lento, a cada nova operação que se deseja realizar ele realiza um carregamento, fato esse que, no meu ponto de vista, deveria ser corrigido, pois agilidade é muito importante',negativo
'o problema é com vcs',negativo
'o problema e com voces',negativo
'o problema é com voces',negativo
'o problema é só com vcs',negativo
'o problema é só com vocês',negativo
'o problema nao foi resolvido',negativo
'o problema persiste a dias',negativo
'o problema persiste a mais de dias',negativo
'o problema persiste',negativo
'o problema que é só com o sicredi pois possuo outros apps de banco e abrem normalmente',negativo
'o ruim é que ele não lhe atualiza da a compras no crédito',negativo
'o ruim é que não apresenta compras no crédito',negativo
'o ruim é que não atualiza compras no crédito',negativo
'o ruim é que não mostra compras no crédito',negativo
'o tal do e-mail nunca veio',negativo
'obrigado por fazer eu ir toda vez ao banco',negativo
'ocorreu um erro',negativo
'olha poderia da cinco estrelas, mais a impressão digital não funciona, quando coloco o dedo tranca o app, mais o app e muito bom',negativo
'onde acho essa senha',negativo
'onde também não sabem de nada',negativo
'os atendentes sem sabe o que fazer',negativo
'os lançamentos futuros deveriam aparecer uns dias antes do débito',negativo
'os numeros ficam escondidos eu uma barra um em cima do outro da pra melhorar',negativo
'ótimo aplicativo, mais deixa uma sugestão ai, melhorar a parte de adiantar pagamento de empréstimo pessoal, às vezes vencimento está em uma data e poder pagar adiantado, seria ótimo',negativo
'ótimo mas precisa atualizar mais rapido',negativo
'ótimo, mas pode melhorar',negativo
'outra coisa que acho errado é que na hora de fazer um pagamento o valor não pode ser debitado da poupança',negativo
'outra sugestão seria o adiantamento de parcelas pelo aplicativo',negativo
'outros sao melhores',negativo
'p/ ter acesso a esse serviço só pagando',negativo
'para abrir demora minutos',negativo
'para abrir já chegou a levar 5 minutos',negativo
'para abrir leva minutos',negativo
'para de funcionar de repente',negativo
'para de funcionar',negativo
'para fazer transferencia tem que entrar em contato com alguem da minha agencia',negativo
'para ficar ruim tem que melhorar muito',negativo
'para pagamento o leitor ótico é fraco',negativo
'para tablet pq estão baixando a versão tablet no celular',negativo
'pararam e não conseguiram resolver',negativo
'parem de complicar o que deveria ser simples',negativo
'parou de funcionar justo no dia útil',negativo
'parou de funcionar',negativo
'passei horas',negativo
'pede muita atualização',negativo
'pede para atualizar, mas não tem atualização disponível',negativo
'pede para verificar a internet mas a wifi está normal',negativo
'pede pra atualizar e não consigo, sem acesso a dias',negativo
'pede um depósito de 5 para liberar o crédito e depois de fazer o deposito diz q não foi possível fazer a liberação ridículo isso',negativo
'pedir para corrigir isso',negativo
'pediram para aguardar nova atualização',negativo
'pelo menos uma vez cada dias impossibilitado de fazer pagamento',negativo
'penso que tem que ser em tempo real',negativo
'percimo não tem onde moro empresa fraca tem agência aqui mas não atende a localidade',negativo
'perdi horas',negativo
'persiste o problema',negativo
'pesado',negativo
'péssimo aplicativo, não dá para fazer praticamente nada',negativo
'péssimo com as últimas atualizações',negativo
'péssimo n está funcionando',negativo
'pessimo nesta última atualização não consigo acessar minha conta',negativo
'péssimo, fui excluir um contato cadastrado para transferência e meu dispositivo foi bloqueado',negativo
'péssimo',negativo
'péssimo',negativo
'péssimo',negativo
'pessoas estão tendo problemas',negativo
'pior aplicativo de banco que já tive',negativo
'pode melhorar bastante',negativo
'pode ser melhorado, mas já é ótimo assim',negativo
'pode ser melhorado',negativo
'poderia corrigir isso',negativo
'poderia me dizer pq o limite de conta sai do sistema e deixam a mensagem "não foi possível, tente mais tarde"..o problema persiste a mais de dias',negativo
'poderia ter o monitoramento em tempo real dos gastos do cartão',negativo
'poderia voltar com as senhas, retirando esse token',negativo
'poderiam colocar ao invés de ficar pedindo',negativo
'poderiam melhorar usar o app para comprar ou pagar contas nos sabados',negativo
'poderiam melhorar',negativo
'podia ficar melhor',negativo
'podia ser melhor',negativo
'podiam aumentar o limite diário',negativo
'pois nao consigo fazer transferencia',negativo
'pois o app não atualiza e bloqueou meu acesso',negativo
'pois os campos usuários e senhas se tornam inválidos',negativo
'pois possuo outros apps de banco e abrem normalmente',negativo
'por favor arrume isso nao esto conseguino acessa o app',negativo
'por favor arrumem isso a gente faz uma compra hoje e vai aparecer na fatura muitos dias depois',negativo
'por favor arrumem isso',negativo
'por favor corrige o problema pois preciso usar o app',negativo
'por favor corrijam o bug da funcao de verificao e me avisem q reavalio',negativo
'por favor corrijam o bug',negativo
'por favor, implantem biometria para android também, só tem para ios',negativo
'por favor, resolvam',negativo
'por favor, tente novamente mais tarde',negativo
'por gentileza, verificar o que está acontencendo',negativo
'por que da erro de agencia',negativo
'por que da erro',negativo
'por ser um aplicativo tinha que funcionar a qualquer momento',negativo
'porém podia haver mais opções',negativo
'porém podia haver opção',negativo
'porém tem algumas coisas que só faz em dia útil',negativo
'porém tranca muito',negativo
'porque vc nao aceita aqui em pernambuco na cidade pombos',negativo
'poupanca poderia ser melhor e ter acesso para quem tem somente poupança',negativo
'pq n esta aparecendo o campo senha',negativo
'pq toda vez que tento fazer uma ted ou pagar conta a senha da inválida',negativo
'pra mim está ruim',negativo
'pra mim falta só um detalhe ver limite disponível do cartão de crédito da conta jurídica',negativo
'pra piorar negativaram meu nome e de meu esposo sem se quer enviar uma cobrança valor totalmente indevido',negativo
'precisa agilizacao',negativo
'precisa atualizar diariamente, poxa',negativo
'precisa de melhorias',negativo
'precisa de uma atualização mais rápida das movimentações cartão crédito',negativo
'precisa melhorar lentidão do app',negativo
'precisa ter mais testes nas versões antes de ser disponibilizado para download',negativo
'precisam buscar a mesma tecnologia de outros bancos',negativo
'precisam melhorar a tecnologia',negativo
'precisei redefinir minha senha, não acessava mais',negativo
'preciso com urgência usar o aplicativo',negativo
'preciso de mais limite no meu cartão',negativo
'preciso digitar o código de barras manualmente',negativo
'preciso fazer manualmente',negativo
'preciso pagar contas e não está funcionando',negativo
'preciso visualizar a senha do meu cartão mas não consigo',negativo
'qualidade superior a todos os outros, mas precisa atualizar diariamente o limite de crédito, poxa',negativo
'quando acessa com o cnpj aí não tem a opção para pagar e consultar o cartão de credito',negativo
'quando ativo impressão digital em meu j5, apresenta erro ao vincular leitor biométrico',negativo
'quando clica em abrir o aplicativo fecha',negativo
'quando digito minha senha ele fica carregando e trava',negativo
'quando eu entro, só aparece a opção saldo, que não acontece nada quando eu clico nessa opção',negativo
'quando fui tentar o campo não aceita mais dígitos',negativo
'quando funcionava era bom eu usava todos os dias era um ótimo app mas agora não funciona mais',negativo
'quando funcionava era bom',negativo
'quando irão solucionar o problema',negativo
'quando ligamos para autorizar, eles não atendem',negativo
'quando se usa a digital pra entrar o app para de funcionar',negativo
'quando tento acessar o aplicativo ele nao abre e diz que precisa ser atualizado na playstore',negativo
'quando tu mais precisa ele blogueia',negativo
'quando vai tirar foto do documento o app trava',negativo
'que amadorismo, sicredi',negativo
'que merda',negativo
'que nem o para smartphone uma droga',negativo
'que pena que ainda não chegou aqui no pernambuco😣',negativo
'que tristeza',negativo
'quer saber, o aplicativo quando não falha é muito bom',negativo
'queria poder ver meu saldo e meus gasto, toda vez tenho que ta anotando num papel pq o app n mostra',negativo
'queria poder ver meu saldo',negativo
'queria usar o app mas n consigo logar',negativo
'queria usar o app mas nem consegui logar',negativo
'quero cancelar minha conta',negativo
'quero usar mas não consigo',negativo
'quero usar o app mas nao consigo',negativo
'realmente cada vez pior',negativo
'realmente um lixo assim como as demais ferramentas',negativo
'reiniciei meu smartphone, e nada, desliguei, nada de funcionar, desinstalei o aplicativo e instalei novamente por umas 3 vezes e nada',negativo
'reiniciei meu smartphone, e nada',negativo
'resolvam isto por favor',negativo
'resolveram cobrar taxas de relacionamento',negativo
'resolveram cobrar taxas',negativo
'resolveram me cobrar',negativo
'restaurei padrões do app e continua na mesma, o problema que é só com o sicredi pois possuo outros apps de banco e abrem normalmente',negativo
'restaurei padrões do app e continua na mesma',negativo
'ridículo ir na agência para poder usar o app',negativo
'ridículo ter que ir na agência para poder usar o aplicativo se a gente quer usar o aplicativo é porque não queremos nos deslocar até a agência, urgência e praticidade é pra isso que serve app bancários',negativo
'ridículo ter que ir na agência para poder usar o aplicativo',negativo
'ridículo ter que ir na agência para poder usar o app',negativo
'ruim isso',negativo
'ruim sempre fecha sozinho apos ser aberto, impossivel de utiliza-lo',negativo
'ruim',negativo
'sao muito limitadas',negativo
'se a gente quer usar o aplicativo é porque não queremos nos deslocar até a agência',negativo
'se persistir assim, vou fechar minha conta na sicredi',negativo
'se puderem me ajudar eu agradeço',negativo
'se recusam a aceitar digitação',negativo
'se tornam inválidos',negativo
'sem acesso a dias',negativo
'sem ao menos pedir para confirmar os dados e não pediu nem a senha',negativo
'sem contar que a cada atualização tenho que me deslocar até a agência pra liberação do token',negativo
'sem falar o desdém dos funcionários da agência quando ligo',negativo
'sem falar que demora muito para liberar o credito',negativo
'sem falar que demora muito',negativo
'sem falar que quando paga a fatura demora muito para liberar o credito',negativo
'sem saber o que fazer',negativo
'sempre apare a mensagem : ocorreu um erro no sistema',negativo
'sempre atrapalhando',negativo
'sempre dá indisponível',negativo
'sempre diz pra tentar mais tarde',negativo
'sempre diz pra você tentar mais tarde mas nunca funciona',negativo
'sempre diz tente novamente mais tarde',negativo
